Entity,Code,Year,Fossil fuels per capita (kWh)
Africa,,1965,2106.226318359375
Africa,,1966,2142.46630859375
Africa,,1967,2106.05126953125
Africa,,1968,2153.0380859375
Africa,,1969,2134.4609375
Africa,,1970,2228.793212890625
Africa,,1971,2345.90283203125
Africa,,1972,2401.94189453125
Africa,,1973,2539.615966796875
Africa,,1974,2571.472412109375
Africa,,1975,2655.391357421875
Africa,,1976,2803.359130859375
Africa,,1977,2865.1640625
Africa,,1978,2902.653564453125
Africa,,1979,3080.913330078125
Africa,,1980,3248.855224609375
Africa,,1981,3567.628173828125
Africa,,1982,3716.288818359375
Africa,,1983,3759.208740234375
Africa,,1984,3758.453125
Africa,,1985,3778.712646484375
Africa,,1986,3734.03955078125
Africa,,1987,3779.601806640625
Africa,,1988,3912.000244140625
Africa,,1989,3799.4658203125
Africa,,1990,3837.11865234375
Africa,,1991,3713.794677734375
Africa,,1992,3687.85791015625
Africa,,1993,3614.23291015625
Africa,,1994,3643.115478515625
Africa,,1995,3695.255615234375
Africa,,1996,3689.875732421875
Africa,,1997,3669.404052734375
Africa,,1998,3624.74072265625
Africa,,1999,3644.441162109375
Africa,,2000,3626.3828125
Africa,,2001,3662.555419921875
Africa,,2002,3622.928466796875
Africa,,2003,3729.866455078125
Africa,,2004,3903.081298828125
Africa,,2005,3822.252685546875
Africa,,2006,3802.404052734375
Africa,,2007,3848.763916015625
Africa,,2008,3990.12158203125
Africa,,2009,3951.29150390625
Africa,,2010,3956.28857421875
Africa,,2011,3884.057861328125
Africa,,2012,3940.343505859375
Africa,,2013,3936.927734375
Africa,,2014,3930.343017578125
Africa,,2015,3927.08984375
Africa,,2016,3930.37890625
Africa,,2017,3911.601318359375
Africa,,2018,3891.0341796875
Africa,,2019,3855.37841796875
Africa,,2020,3509.572021484375
Africa,,2021,3637.529541015625
Algeria,DZA,1965,1884.318115234375
Algeria,DZA,1966,2230.770263671875
Algeria,DZA,1967,2036.53466796875
Algeria,DZA,1968,2099.025390625
Algeria,DZA,1969,2309.227294921875
Algeria,DZA,1970,2422.666015625
Algeria,DZA,1971,2605.996337890625
Algeria,DZA,1972,2825.079345703125
Algeria,DZA,1973,3248.094970703125
Algeria,DZA,1974,3556.829833984375
Algeria,DZA,1975,4178.7705078125
Algeria,DZA,1976,4737.9609375
Algeria,DZA,1977,5085.462890625
Algeria,DZA,1978,6221.443359375
Algeria,DZA,1979,7919.41796875
Algeria,DZA,1980,9176.263671875
Algeria,DZA,1981,10800.076171875
Algeria,DZA,1982,12061.6494140625
Algeria,DZA,1983,12807.94921875
Algeria,DZA,1984,11894.166015625
Algeria,DZA,1985,11608.0625
Algeria,DZA,1986,11979.337890625
Algeria,DZA,1987,11932.7470703125
Algeria,DZA,1988,12472.8876953125
Algeria,DZA,1989,11805.8525390625
Algeria,DZA,1990,12212.2783203125
Algeria,DZA,1991,11788.755859375
Algeria,DZA,1992,11826.0517578125
Algeria,DZA,1993,10745.271484375
Algeria,DZA,1994,10683.7958984375
Algeria,DZA,1995,10869.19921875
Algeria,DZA,1996,10576.1337890625
Algeria,DZA,1997,10007
Algeria,DZA,1998,10191.6259765625
Algeria,DZA,1999,10150.20703125
Algeria,DZA,2000,9657.3564453125
Algeria,DZA,2001,9875.84375
Algeria,DZA,2002,10101.4921875
Algeria,DZA,2003,10418.7919921875
Algeria,DZA,2004,10677.01171875
Algeria,DZA,2005,11001.04296875
Algeria,DZA,2006,11254.1484375
Algeria,DZA,2007,11677.9638671875
Algeria,DZA,2008,12172.59765625
Algeria,DZA,2009,12676.3369140625
Algeria,DZA,2010,12187.8974609375
Algeria,DZA,2011,12639.8623046875
Algeria,DZA,2012,13549.46875
Algeria,DZA,2013,14069.9296875
